[x]	label	desc	unitlist
quantitykind:Length	Length	In geometric measurements, length most commonly refers to the est dimension of an object. In some contexts, the term "length" is reserved for a certain dimension of an object along which the length is measured.	http://qudt.org/vocab/unit/FemtoM http://qudt.org/vocab/unit/LY http://qudt.org/vocab/unit/MicroM http://qudt.org/vocab/unit/YD http://qudt.org/vocab/unit/DeciM http://qudt.org/vocab/unit/MI_US http://qudt.org/vocab/unit/PlanckLength http://qudt.org/vocab/unit/FM http://qudt.org/vocab/unit/MilliM http://qudt.org/vocab/unit/M http://qudt.org/vocab/unit/FUR_Long http://qudt.org/vocab/unit/MI http://qudt.org/vocab/unit/FT_US http://qudt.org/vocab/unit/FUR http://qudt.org/vocab/unit/MicroIN http://qudt.org/vocab/unit/FT http://qudt.org/vocab/unit/CH http://qudt.org/vocab/unit/PARSEC http://qudt.org/vocab/unit/PCA http://qudt.org/vocab/unit/CentiM http://qudt.org/vocab/unit/IN http://qudt.org/vocab/unit/MilLength http://qudt.org/vocab/unit/ROD http://qudt.org/vocab/unit/MI_N http://qudt.org/vocab/unit/FATH http://qudt.org/vocab/unit/AU http://qudt.org/vocab/unit/ANGSTROM http://qudt.org/vocab/unit/PT http://qudt.org/vocab/unit/KiloM
quantitykind:Lethargy	Lethargy	The "Lethargy" is a dimensionless logarithm of the ratio of the energy of source neutrons to the energy of neutrons after a collision.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:LevelWidth	Level Width	The "Level Width" is the uncertainty in the energy of a quantum-mechanical system having discrete energy levels in a state that is not strictly stationary. The system may be an atom, a molecule, or an atomic nucleus.	http://qudt.org/vocab/unit/J
quantitykind:LinearAbsorptionCoefficient	Linear Absorption Coefficient	The Linear Absorption Coefficient is a quantity that characterizes how easily a material or medium can be penetrated by a beam of light, sound, particles, or other energy or matter.	http://qudt.org/vocab/unit/PER-M
quantitykind:LinearAttenuationCoefficient	Linear Attenuation Coefficient	"Linear Attenuation Coefficient", also called the attenuation coefficient,  narrow beam attenuation coefficient, or absorption coefficient, is a quantity that characterizes how easily a material or medium can be penetrated by a beam of light, sound, particles, or other energy or matter.	http://qudt.org/vocab/unit/PER-M
quantitykind:LinearDensity	Linear Density	The Linear density, linear mass density or linear mass is a measure of mass per unit of length, and it is a characteristic of strings or other one-dimensional objects.	http://qudt.org/vocab/unit/KiloGM-PER-M
quantitykind:LinearEnergyTransfer	Linear Energy Transfer	"Linear Energy Transfer"  (LET) is the linear density of energy lost by a charged ionizing particle travelling through matter.Typically, this measure is used to quantify the effects of ionizing radiation on biological specimens or electronic devices.	http://qudt.org/vocab/unit/KiloEV-PER-MicroM http://qudt.org/vocab/unit/J-PER-M http://qudt.org/vocab/unit/MegaEV-PER-CentiM
quantitykind:LinearIonization	Linear Ionization	"Linear Ionization"  is a description of how the ionization of an atom or molecule takes place. For example, an ion with a +2 charge can be created only from an ion with a +1 charge or a +3 charge. That is, the numerical charge of an atom or molecule must change sequentially, always moving from one number to an adjacent, or sequential, number. Using sequential ionization definition.	http://qudt.org/vocab/unit/PER-M
quantitykind:LinearStrain	Linear Strain	A strain is a normalized measure of deformation representing the displacement between particles in the body relative to a reference length.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:LinearThermalExpansion	Linear Thermal Expansion	When the temperature of a substance changes, the energy that is stored in the intermolecular bonds between atoms changes. When the stored energy increases, so does the length of the molecular bonds. As a result, solids typically expand in response to heating and contract on cooling; this dimensional response to temperature change is expressed by its coefficient of thermal expansion. Different coefficients of thermal expansion can be defined for a substance depending on whether the expansion is measured by: linear thermal expansion, area thermal expansion, or volumetric thermal expansion.	http://qudt.org/vocab/unit/M-PER-K
quantitykind:LiquidVolume	Liquid Volume	Liquid volume is the volume of a given amount of liquid, that is, the amount of space a liquid takes up. There are a number of different units used to measure liquid volume, but most of them fall under either the metric system of measurement or the Imperial system of measurement.	http://qudt.org/vocab/unit/GAL_US http://qudt.org/vocab/unit/GAL_IMP http://qudt.org/vocab/unit/L http://qudt.org/vocab/unit/CUP http://qudt.org/vocab/unit/QT_US http://qudt.org/vocab/unit/OZ_VOL_US http://qudt.org/vocab/unit/PINT_US
quantitykind:LondonPenetrationDepth	London Penetration Depth	"London Penetration Depth" characterizes the distance to which a magnetic field penetrates into a superconductor and becomes equal to 1/e times that of the magnetic field at the surface of the superconductor.	http://qudt.org/vocab/unit/M
quantitykind:Long-RangeOrderParameter	Long-Range Order Parameter	"Long-Range Order Parameter" is the fraction of atoms in an Ising ferromagnet having magnetic moments in one direction, minus the fraction having magnetic moments in the opposite direction.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:LorenzCoefficient	Lorenz Coefficient	"Lorenz Coefficient" is part mof the Lorenz curve.	http://qudt.org/vocab/unit/V2-PER-K2
quantitykind:LossFactor	Loss Factor	"Loss Factor} is the inverse of \textit{Quality Factor} and is the ratio of the \textit{resistance} and modulus of \textit{reactance".	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Luminance	Luminance	Luminance is a photometric measure of the luminous intensity per unit area of light travelling in a given direction. It describes the amount of light that passes through or is emitted from a particular area, and falls within a given solid angle.	http://qudt.org/vocab/unit/STILB http://qudt.org/vocab/unit/FT-LA http://qudt.org/vocab/unit/LA http://qudt.org/vocab/unit/CD-PER-M2 http://qudt.org/vocab/unit/CD-PER-IN2
quantitykind:LuminousEfficacy	Luminous Efficacy	Luminous Efficacy is the ratio of luminous flux (in lumens) to power (usually measured in watts). Depending on context, the power can be either the radiant flux of the source's output, or it can be the total electric power consumed by the source.	http://qudt.org/vocab/unit/LM-PER-W
quantitykind:LuminousEnergy	Luminous Energy	Luminous Energy is the perceived energy of light. This is sometimes also called the quantity of light.	http://qudt.org/vocab/unit/LM-SEC
quantitykind:LuminousExposure	Luminous Exposure	Luminous Exposure is the time-integrated illuminance.	http://qudt.org/vocab/unit/LUX-HR
quantitykind:LuminousFlux	Luminous Flux	Luminous Flux or Luminous Power is the measure of the perceived power of light. It differs from radiant flux, the measure of the total power of light emitted, in that luminous flux is adjusted to reflect the varying sensitivity of the human eye to different wavelengths of light.	http://qudt.org/vocab/unit/LM
quantitykind:LuminousIntensity	Luminous Intensity	Luminous Intensity is a measure of the wavelength-weighted power emitted by a light source in a particular direction per unit solid angle. The weighting is determined by the luminosity function, a standardized model of the sensitivity of the human eye to different wavelengths.	http://qudt.org/vocab/unit/CP http://qudt.org/vocab/unit/CD
quantitykind:MacroscopicCross-Section	Macroscopic Cross-section	"Macroscopic Cross-section" is the sum of the cross-sections for a reaction or process of a specified type over all atoms or other entities in a given 3D domain, divided by the volume of that domain.	http://qudt.org/vocab/unit/PER-M
quantitykind:MacroscopicTotalCross-Section	Macroscopic Total Cross-section	"Macroscopic Total Cross-section" is the total cross-sections for all atoms or other entities in a given 3D domain, divided by the volume of that domain.	http://qudt.org/vocab/unit/PER-M
quantitykind:MadelungConstant	Madelung Constant	"Madelung Constant" is used in determining the electrostatic potential of a single ion in a crystal by approximating the ions by point charges. It is named after Erwin Madelung, a German physicist.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MagneticFlux	Magnetic Flux	"Magnetic Flux" is the product of the average magnetic field times the perpendicular area that it penetrates.	http://qudt.org/vocab/unit/WB http://qudt.org/vocab/unit/V_Ab-SEC http://qudt.org/vocab/unit/UnitPole http://qudt.org/vocab/unit/MX
quantitykind:MagneticFluxPerUnitLength	Magnetic flux per unit length	"Magnetic Flux per Unit Length" is a quantity in the SI and C.G.S. Systems of Quantities.	http://qudt.org/vocab/unit/T-M
quantitykind:MagneticQuantumNumber	Magnetic Quantum Number	The "Magnetic Quantum Number" describes the specific orbital (or "cloud") within that subshell, and yields the projection of the orbital angular momentum along a specified axis.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MagneticReluctivity	Magnetic Reluctivity	"Length Per Unit Magnetic Flux} is the the resistance of a material to the establishment of a magnetic field in it. It is the reciprocal of \textit{Magnetic Permeability", the inverse of the measure of the ability of a material to support the formation of a magnetic field within itself.	http://qudt.org/vocab/unit/PER-T-M
quantitykind:MagneticTension	Magnetic Tension	"Magnetic Tension} is a scalar quantity equal to the line integral of the magnetic field strength \mathbf{H" along a specified path linking two points a and b.	http://qudt.org/vocab/unit/A
quantitykind:Magnetization	Magnetization	"Magnetization" is defined as the ratio of magnetic moment per unit volume. It is a vector-valued quantity.	http://qudt.org/vocab/unit/A-PER-M
quantitykind:MassAbsorptionCoefficient	Mass Absorption Coefficient	The mass absorption coefficient is the linear absorption coefficient divided by the density of the absorber.	http://qudt.org/vocab/unit/M2-PER-KiloGM
quantitykind:MassAttenuationCoefficient	Mass Attenuation Coefficient	"Mass Attenuation Coefficient" is a measurement of how strongly a chemical species or substance absorbs or scatters light at a given wavelength, per unit mass.	http://qudt.org/vocab/unit/M2-PER-KiloGM
quantitykind:MassConcentration	Mass Concentration	The "Mass Concentration" of substance B  is defined as the mass of a constituent  divided by the volume of the mixture .	http://qudt.org/vocab/unit/KiloGM-PER-M3
quantitykind:MassConcentrationOfWater	Mass Concentration of Water	"Mass Concentration of Water Valour} is one of a number of \textit{Concentration" quantities defined by ISO 8000.	http://qudt.org/vocab/unit/KiloGM-PER-M3
quantitykind:MassConcentrationOfWaterVapour	Mass Concentration of Water Vapour	"Mass Concentration of Water} is one of a number of \textit{Concentration" quantities  defined by ISO 8000.	http://qudt.org/vocab/unit/KiloGM-PER-M3
quantitykind:MassDefect	Mass Defect	The "Mass Defect", also termed mass deficit, or mass packing fraction, describes mass change (decrease) in bound systems, particularly atomic nuclei.	http://qudt.org/vocab/unit/KiloGM
quantitykind:MassDensity	Mass Density	The mass density or density of a material is its mass per unit volume.	http://qudt.org/vocab/unit/KiloGM-PER-M3
quantitykind:MassEnergyTransferCoefficient	Mass Energy Transfer Coefficient	"Mass Energy Transfer Coefficient" is that fraction of the mass attenuation coefficient which contributes to the production of kinetic energy in charged particles.	http://qudt.org/vocab/unit/M2-PER-KiloGM
quantitykind:MassExcess	Mass Excess	The "Mass Excess" of a nuclide is the difference between its actual mass and its mass number in atomic mass units. It is one of the predominant methods for tabulating nuclear mass.	http://qudt.org/vocab/unit/KiloGM
quantitykind:MassFraction	Mass Fraction	The "Mass Fraction" is the fraction of one substance with mass to the mass of the total mixture .	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MassFractionOfDryMatter	Mass Fraction of Dry Matter	"Mass Fraction of Dry Matter} is one of a number of \textit{Concentration" quantities defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MassFractionOfWater	Mass Fraction of Water	"Mass Fraction of Water} is one of a number of \textit{Concentration" quantities defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MassRatioOfWaterToDryMatter	Mass Concentration of Water To Dry Matter	"Mass Ratio of Water to Dry Matter} is one of a number of \textit{Concentration Ratio" quantities  defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MassRatioOfWaterVapourToDryGas	Mass Ratio of Water Vapour to Dry Gas	"Mass Ratio of Water Vapour to Dry Gas} is one of a number of \textit{Concentration Ratio" quantities  defined by ISO 8000.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MassicActivity	Massic Activity	"Massic Activity" is the activity divided by the total mass of the sample.	http://qudt.org/vocab/unit/BQ-PER-KiloGM
quantitykind:MaximumBeta-ParticleEnergy	Maximum Beta-Particle Energy	"Maximum Beta-Particle Energy" is the maximum energy of the energy spectrum in a beta-particle disintegration process.	http://qudt.org/vocab/unit/J
quantitykind:MeanEnergyImparted	Mean Energy Imparted	The "Mean Energy Imparted", is the average energy imparted to irradiated matter.	http://qudt.org/vocab/unit/J
quantitykind:MeanFreePath	Mean Free Path	"Mean Free Path" is the average distance travelled by a moving particle (such as an atom, a molecule, a photon) between successive impacts (collisions) which modify its direction or energy or other particle properties.	http://qudt.org/vocab/unit/M
quantitykind:MeanLinearRange	Mean Linear Range	"Mean Linear Range" is, in a given material, for specified charged particles of a specified energy, the average displacement of the particles before they stop. That is, the mean totl rectified path length travelled by a particle in the course of slowing down to rest (or to some suitable cut-off energy) in a given substance under specified conditions averaged over a group of particles having the same initial energy.	http://qudt.org/vocab/unit/M
quantitykind:MeanMassRange	Mean Mass Range	"Mean Mass Range" is the mean linear range multiplied by the mass density of the material.	http://qudt.org/vocab/unit/KiloGM-PER-M2
quantitykind:MechanicalEnergy	Mechanical Energy	Mechanical Energy is the sum of potential energy and kinetic energy. It is the energy associated with the motion and position of an object.	http://qudt.org/vocab/unit/J
quantitykind:MechanicalSurfaceImpedance	Mechanical surface impedance	Mechanical surface impedance at a surface, is the complex quotient of the total force on the surface by the component of the average sound particle velocity at the surface in the direction of the force	http://qudt.org/vocab/unit/N-SEC-PER-M
quantitykind:MicroCanonicalPartitionFunction	Micro Canonical Partition Function	A "Micro Canonical Partition Function" applies to a micro canonical ensemble, in which the system is allowed to exchange heat with the environment at fixed temperature, volume, and a fixed number of particles.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:MigrationArea	Migration Area	"Migration Area" is the sum of the slowing-down area from fission energy to thermal energy and the diffusion area for thermal neutrons.	http://qudt.org/vocab/unit/M2
quantitykind:MigrationLength	Migration Length	"Migration Length" is the square root of the migration area.	http://qudt.org/vocab/unit/M
quantitykind:Mobility	Mobility	"Mobility" characterizes how quickly a particle can move through a metal or semiconductor, when pulled by an electric field. The average drift speed imparted to a charged particle in a medium by an electric field, divided by the electric field strength.	http://qudt.org/vocab/unit/M2-PER-V-SEC
quantitykind:MobilityRatio	Mobility Ratio	"MobilityRatio" describes permeability of a porous material to a given phase divided by the viscosity of that phase.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ModulusOfElasticity	Modulus of Elasticity	The Modulus of Elasticity is the mathematical description of an object or substance's tendency to be deformed elastically (that is, non-permanently) when a force is applied to it.	http://qudt.org/vocab/unit/PA
quantitykind:MolalityOfSolute	Molality of Solute	The "Molality of Solute" of a solution is defined as the amount of substance of solute divided by the mass in kg of the solvent.	http://qudt.org/vocab/unit/MOL-PER-KiloGM
quantitykind:MolarAbsorptionCoefficient	Molar Absorption Coefficient	"Molar Absorption Coefficient" is a spectrophotometric unit indicating the light a substance absorbs with respect to length, usually centimeters, and concentration, usually moles per liter.	http://qudt.org/vocab/unit/M2-PER-KiloGM
quantitykind:MolarAttenuationCoefficient	Molar Attenuation Coefficient	"Molar Attenuation Coefficient" is a measurement of how strongly a chemical species or substance absorbs or scatters light at a given wavelength, per amount of substance.	http://qudt.org/vocab/unit/M2-PER-MOL
quantitykind:MolarConductivity	Molar Conductivity	"Molar Conductivity" is the conductivity of an electrolyte solution divided by the molar concentration of the electrolyte, and so measures the efficiency with which a given electrolyte conducts electricity in solution.	http://qudt.org/vocab/unit/S-M2-PER-MOL
quantitykind:MolarEntropy	Molar Entropy	The "Standard Molar Entropy" is the entropy content of one mole of substance, under standard conditions (not standard temperature and pressure STP).	http://qudt.org/vocab/unit/J-PER-MOL-K
quantitykind:MolarHeatCapacity	Molar Heat Capacity	"Molar Heat Capacity" is the amount of heat energy required to raise the temperature of 1 mole of a substance. In SI units, molar heat capacity (symbol: cn) is the amount of heat in joules required to raise 1 mole of a substance 1 Kelvin.	http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F http://qudt.org/vocab/unit/J-PER-MOL-K http://qudt.org/vocab/unit/KiloCAL-PER-MOL-DEG_C
quantitykind:MolarOpticalRotatoryPower	Molar Optical Rotatory Power	The "Molar Optical Rotatory Power" Angle of optical rotation divided by the optical path length through the medium and by the amount concentration giving the molar optical rotatory power.	http://qudt.org/vocab/unit/RAD-M2-PER-MOL
quantitykind:MolecularConcentration	Molecular Concentration	The "Molecular Concentration" of substance B  is defined as the number of molecules of B  divided by the volume of the mixture 	http://qudt.org/vocab/unit/PER-M3
quantitykind:MolecularMass	Molecular Mass	The molecular mass, or molecular weight of a chemical compound is the mass of one molecule of that compound, relative to the unified atomic mass unit, u. Molecular mass should not be confused with molar mass, which is the mass of one mole of a substance.	http://qudt.org/vocab/unit/Da
quantitykind:MomentOfForce	Moment of Force	Moment of force (often just moment) is the tendency of a force to twist or rotate an object.	http://qudt.org/vocab/unit/N-M
quantitykind:MomentOfInertia	Moment of Inertia	The rotational inertia or resistance to change in direction or speed of rotation about a defined axis.	http://qudt.org/vocab/unit/KiloGM-M2
quantitykind:MultiplicationFactor	Multiplication Factor	The "Multiplication Factor" is the ratio of the total number of fission or fission-dependent neutrons produced in a time interval to the total number of neutrons lost by absorption and leakage during the same interval.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:NapierianAbsorbance	Napierian Absorbance	Napierian Absorbance is the natural (Napierian) logarithm of the reciprocal of the spectral internal transmittance.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:NeutronDiffusionCoefficient	Diffusion Coefficient	The "Diffusion Coefficient" is 	http://qudt.org/vocab/unit/M2-PER-SEC
quantitykind:NeutronYieldPerAbsorption	Neutron Yield per Absorption	The "Neutron Yield per Absorption" is the average number of fission neutrons, both prompt and delayed, emitted per neutron absorbed in a fissionable nuclide or in a nuclear fuel, as specified.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:NeutronYieldPerFission	Neutron Yield per Fission	The "Neutron Yield per Fission" is the average number of fission neutrons, both prompt and delayed, emitted per fission event.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Non-LeakageProbability	Non-Leakage Probability	The "Non-Leakage Probability" is the probability that a neutron will not escape from the reactor during the slowing-down process or while it diffuses as a thermal neutron	http://qudt.org/vocab/unit/UNITLESS
quantitykind:NonActivePower	Non-active Power	"Non-active Power", for a two-terminal element or a two-terminal circuit under periodic conditions, is the quantity equal to the square root of the difference of the squares of the apparent power and the active power.	http://qudt.org/vocab/unit/V-A
quantitykind:NormalStress	Normal Stress	Normal stress is defined as the stress resulting from a force acting normal to a body surface. Normal stress can be caused by several loading methods, the most common being axial tension and compression, bending, and hoop stress.	http://qudt.org/vocab/unit/PA http://qudt.org/vocab/unit/LB_F-PER-IN2 http://qudt.org/vocab/unit/N-PER-M2
quantitykind:NuclearQuadrupoleMoment	Nuclear Quadrupole Moment	"Nuclear Quadrupole Moment" is a quantity that characterizes the deviation from spherical symmetry of the electrical charge distribution in an atomic nucleus.	http://qudt.org/vocab/unit/M2
quantitykind:NuclearRadius	Nuclear Radius	"Nuclear Radius" is the conventional radius of sphere in which the nuclear matter is included	http://qudt.org/vocab/unit/M
quantitykind:NuclearSpinQuantumNumber	Spin Quantum Number	The "Spin Quantum Number"  describes the spin (intrinsic angular momentum) of the electron within that orbital, and gives the projection of the spin angular momentum S along the specified axis	http://qudt.org/vocab/unit/UNITLESS
quantitykind:NumberDensity	Number Density	In physics, astronomy, and chemistry, number density (symbol: n) is a kind of quantity used to describe the degree of concentration of countable objects (atoms, molecules, dust particles, galaxies, etc.) in the three-dimensional physical space.	http://qudt.org/vocab/unit/PER-M3
quantitykind:NumberOfParticles	Number of Particles	"Number of Particles", also known as the particle number, of a thermodynamic system, conventionally indicated with the letter N, is the number of constituent particles in that system.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:OsmoticCoefficient	Osmotic Coefficient	The "Osmotic Coefficient" is a quantity which characterises the deviation of a solvent from ideal behavior.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:OsmoticPressure	Osmotic Pressure	The "Osmotic Pressure" is the pressure which needs to be applied to a solution to prevent the inward flow of water across a semipermeable membrane.	http://qudt.org/vocab/unit/PA
quantitykind:PackingFraction	Packing Fraction	The "Packing Fraction" is the fraction of volume in a crystal structure that is occupied by atoms.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:PartialPressure	Partial Pressure	"Partial Pressure" is the pressure that the gas would have if it alone occupied the volume of the mixture at the same temperature.	http://qudt.org/vocab/unit/PA
quantitykind:ParticleCurrent	Particle Current	"Particle Current" can be used to describe the net number of particles passing through a surface in an infinitesimal time interval.	http://qudt.org/vocab/unit/PER-M2-SEC
quantitykind:ParticleFluence	Particle Fluence	"Particle Fluence" is the total number of particles that intersect a unit area in a specific time interval of interest, and has units of m–2 (number of particles per meter squared).	http://qudt.org/vocab/unit/PER-M2
quantitykind:ParticleFluenceRate	Particle Fluence Rate	"Particle Fluence Rate" can be defined as the total number of particles (typically Gamma Ray Photons ) crossing over a sphere of unit cross section which surrounds a Point Source of Ionising Radiation.	http://qudt.org/vocab/unit/PER-M2-SEC
quantitykind:ParticleNumberDensity	Particle Number Density	The "Particle Number Density" is obtained by dividing the particle number of a system by its volume.	http://qudt.org/vocab/unit/PER-M3
quantitykind:ParticlePositionVector	Particle Position Vector	"Particle Position Vector" is the position vector of a particle.	http://qudt.org/vocab/unit/M
quantitykind:ParticleSourceDensity	Particle Source Density	"Particle Source Density" is the rate of production of particles in a 3D domain divided by the volume of that element.	http://qudt.org/vocab/unit/PER-M3-SEC
quantitykind:PathLength	Path Length	"PathLength" is 	http://qudt.org/vocab/unit/M
quantitykind:Period	Period	Duration of one cycle of a periodic phenomenon.	http://qudt.org/vocab/unit/SEC
quantitykind:Permittivity	Permittivity	"Permittivity" is a physical quantity that describes how an electric field affects, and is affected by a dielectric medium, and is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material.  Permittivity is often a scalar valued quantity, however in the general case it is tensor-valued.	http://qudt.org/vocab/unit/FARAD-PER-M http://qudt.org/vocab/unit/PERMITTIVITY_REL http://qudt.org/vocab/unit/FARAD_Ab-PER-CentiM
quantitykind:PhaseSpeedOfSound	Phase speed of sound	In a dispersive medium sound speed is a function of sound frequency, through the dispersion relation. The spatial and temporal distribution of a propagating disturbance will continually change. Each frequency component propagates at its own Phase Velocity of Sound.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:PhononMeanFreePath	Phonon Mean Free Path	"Phonon Mean Free Path" is the mean free path of phonons.	http://qudt.org/vocab/unit/M
quantitykind:PlaneAngle	Plane Angle	An angle formed by two straight lines (in the same plane) angle - the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians	http://qudt.org/vocab/unit/ARCSEC http://qudt.org/vocab/unit/GRAD http://qudt.org/vocab/unit/MilliARCSEC http://qudt.org/vocab/unit/MIL http://qudt.org/vocab/unit/MicroRAD http://qudt.org/vocab/unit/DEG http://qudt.org/vocab/unit/RAD http://qudt.org/vocab/unit/GON http://qudt.org/vocab/unit/REV http://qudt.org/vocab/unit/MilliRAD http://qudt.org/vocab/unit/ARCMIN
quantitykind:PoissonRatio	Poisson Ratio	The Poisson Ratio is the negative ratio of transverse to axial strain. In fact, when a sample object is stretched (or squeezed), to an extension (or contraction) in the direction of the applied load, it corresponds a contraction (or extension) in a direction perpendicular to the applied load. The ratio between these two quantities is the Poisson's ratio.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:PositionVector	Position Vector	A "Position Vector", also known as location vector or radius vector, is a Euclidean vector which represents the position of a point P in space in relation to an arbitrary reference origin O.	http://qudt.org/vocab/unit/M
quantitykind:PotentialEnergy	Potential Energy	Energy possessed by a body by virtue of its position in a gravity field in contrast with kinetic energy, that possessed by virtue of its motion.	http://qudt.org/vocab/unit/J
quantitykind:PowerPerElectricCharge	Power Per Electric Charge	"Power Per Electric Charge" is the amount of energy generated by a unit of electric charge.	http://qudt.org/vocab/unit/V-PER-SEC
quantitykind:PoyntingVector	Poynting Vector	"Poynting Vector} is the vector product of the electric field strength \mathbf{E} and the magnetic field strength \mathbf{H" of the electromagnetic field at a given point. The flux of the Poynting vector through a closed surface is equal to the electromagnetic power passing through this surface. For a periodic electromagnetic field, the time average of the Poynting vector is a vector of which, with certain reservations, the direction may be considered as being the direction of propagation of electromagnetic energy and the magnitude considered as being the average electromagnetic power flux density.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:Pressure	Pressure	Pressure is an effect which occurs when a force is applied on a surface. Pressure is the amount of force acting on a unit area. Pressure is distinct from stress, as the former is the ratio of the component of force normal to a surface to the surface area. Stress is a tensor that relates the vector force to the vector area.	http://qudt.org/vocab/unit/N-PER-M2 http://qudt.org/vocab/unit/PA http://qudt.org/vocab/unit/BARYE
quantitykind:QuantumNumber	Quantum Number	The "Quantum Number" describes values of conserved quantities in the dynamics of the quantum system. Perhaps the most peculiar aspect of quantum mechanics is the quantization of observable quantities, since quantum numbers are discrete sets of integers or half-integers.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:QuarticElectricDipoleMomentPerCubicEnergy	Quartic Electric Dipole Moment per Cubic Energy	"Quartic Electric Dipole Moment per Cubic Energy" is	http://qudt.org/vocab/unit/C4-M4-PER-J3
quantitykind:RF-Power	RF-Power Level	Radio-Frequency Power. Power level of electromagnetic waves alternating at the frequency of radio waves (up to 10^10 Hz).	http://qudt.org/vocab/unit/DeciB_M
quantitykind:Radiance	Radiance	"Radiance" is a radiometric measure that describes the amount of light that passes through or is emitted from a particular area, and falls within a given solid angle in a specified direction.	http://qudt.org/vocab/unit/W-PER-M2-SR
quantitykind:RadianceFactor	Radiance Factor	Radiance Factor is the ratio of the radiance of the surface element in the given direction to that of a perfect reflecting or transmitting diffuser identically irradiated unit.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:RadiantEmmitance	Radiant Emmitance	Irradiance and Radiant Emittance are radiometry terms for the power per unit area of electromagnetic radiation at a surface. "Irradiance" is used when the electromagnetic radiation is incident on the surface. "Radiant emmitance" (or "radiant exitance") is used when the radiation is emerging from the surface.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:RadiantEnergy	Radiant Energy	In radiometry,"Radiant Energy} is the energy of electromagnetic waves. The quantity of radiant energy may be calculated by integrating radiant flux (or power) with respect to time.  In nuclear physics, \textit{Radiant Energy" is energy, excluding rest energy, of the particles that are emitted, transferred, or received.	http://qudt.org/vocab/unit/J
quantitykind:RadiantEnergyDensity	Radiant Energy Density	"Radiant Energy Density", or radiant power, is the radiant energy per unit volume.	http://qudt.org/vocab/unit/J-PER-M3
quantitykind:RadiantExposure	Radiant Exposure	Radiant exposure is a measure of the total radiant energy incident on a surface per unit area; equal to the integral over time of the radiant flux density. Also known as exposure.	http://qudt.org/vocab/unit/J-PER-M2
quantitykind:RadiantFluence	Radiant Fluence	Radiant fluence rate, or spherical irradiance, is equal to the total radiant flux incident on a small sphere divided by the area of the diametrical cross-section of the sphere.	http://qudt.org/vocab/unit/J-PER-M2
quantitykind:RadiantFluenceRate	Radiant Fluence Rate	Radiant fluence rate, or spherical irradiance, is equal to the total radiant flux incident on a small sphere divided by the area of the diametrical cross-section of the sphere.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:RadiantIntensity	Radiant Intensity	Radiant Intensity is a measure of the intensity of electromagnetic radiation. It is defined as power per unit solid angle.	http://qudt.org/vocab/unit/W-PER-SR
quantitykind:Radius	Radius	In classical geometry, the "Radius" of a circle or sphere is any line segment from its center to its perimeter the radius of a circle or sphere is the length of any such segment.	http://qudt.org/vocab/unit/M
quantitykind:RadiusOfCurvature	Radius of Curvature	In geometry, the "Radius of Curvature", R, of a curve at a point is a measure of the radius of the circular arc which best approximates the curve at that point.	http://qudt.org/vocab/unit/M
quantitykind:Reactance	Reactance	"Reactance" is the opposition of a circuit element to a change of electric current or voltage, due to that element's inductance or capacitance. A built-up electric field resists the change of voltage on the element, while a magnetic field resists the change of current. The notion of reactance is similar to electrical resistance, but they differ in several respects. Capacitance and inductance are inherent properties of an element, just like resistance.	http://qudt.org/vocab/unit/OHM
quantitykind:ReactionEnergy	Reaction Energy	"Reaction Energy" in a nuclear reaction, is the sum of the kinetic energies and photon energies of the reaction products minus the sum of the kinetic and photon energies of the reactants.	http://qudt.org/vocab/unit/J
quantitykind:Reactivity	Reactivity	"Reactivity" characterizes the deflection of reactor from the critical state.	http://qudt.org/vocab/unit/UNITLESS
